Title,Author,Year,Publisher,Genre,Series,Format,Pages,ISBN,Edition,Printing,Value,Rarity,Rating,Condition,Summary,Signed,Status
"The Divine Comedy: The Inferno, Purgatorio, and Paradiso",Dante Alighieri,1948,Pantheon Books,Epic Poetry,,Hardcover,0,,"Pantheon Books edition, translated by Lawrence Grant White, illustrated by Gustave Doré",First printing (1948),$10,Uncommon; collectible for Dore illustrations and White translation,8.16,"Very Good, hasDJ | Very Good (VG); hardcover; with worn dust jacket; signs of wear; some page corners dog-eared but intact","Single-volume edition of Dante's epic poem translated into English blank verse by Lawrence Grant White, illustrated with Gustave Doré's classic engravings, published by Pantheon Books in 1948.",,Own
The Element Encyclopedia of 5000 Spells,Judika Illes,2004,HarperElement (HarperCollins Publishers Ltd.),Occult / Reference / Magic,Element Encyclopedia,Hardcover,1120,0-00-716465-3,First Edition,First Printing (2004),$40,Common; popular among occult readers and collectors,8,"Very Fine, hasDJ | Very Fine (VF): Hardcover; slightly worn dust jacket","A comprehensive reference of spells and magical practices compiled by Judika Illes, spanning traditions worldwide. Includes 5,000 spells categorized by type, purpose, and ritual tools.",No,Own
The Elfstones of Shannara,Terry Brooks,1982,"Del Rey / Ballantine Books, New York",Fantasy / Epic Fantasy,"The Original Shannara Trilogy, Book 2",Hardcover,,,Book Club Edition,Book Club Edition (not first printing),$5,"Common; book club edition, widely available, not scarce",7.98,"Good, hasDJ | Good book; Fair dust jacket","Second novel in Terry Brooks's Original Shannara Trilogy, following half-elf Wil Ohmsford as he guards the Elven girl Amberle on a perilous quest to save the dying Ellcrys tree and prevent the Demons from being unleashed upon the land. Cover illustration by Darrell K. Sweet, map by the Brothers Hildebrandt.",,Own
The Elric Saga Part One,Michael Moorcock,1984,"Nelson Doubleday, Inc., Garden City, NY",Fantasy,Elric Saga,Hardcover with dust jacket,0,,Science Fiction Book Club Edition,Mar-84,$20,"Uncommon; valued by fantasy collectors, especially Moorcock fans",8.2,"Near Fine, protectedDJ | Near Fine; hardcover; dust jacket with only slight wear, protected in plastic","An omnibus edition collecting three of Michael Moorcock's classic Elric novels: 'Elric of Melniboné,' 'The Sailor on the Seas of Fate,' and 'The Weird of the White Wolf.' This Science Fiction Book Club edition was published in March 1984 and features all three tales of the albino emperor and his cursed blade Stormbringer.",,Own
The Far Side of the World,Patrick O'Brian,1984,"W. W. Norton & Company, New York",Historical Fiction / Nautical Fiction / War of 1812,"Aubrey-Maturin, Book 10",Paperback,366,0-393-32476-1,Norton Paperback Edition,1992 Norton paperback printing (number line to 4),$6,"Common; widely printed installment in a major historical fiction series, inspiration for the film Master and Commander, not scarce",8.90,"Good, noDJ | Good; trade paperback, no dust jacket as issued","Tenth novel in the Aubrey-Maturin series, in which Jack Aubrey pursues an American frigate around Cape Horn during the War of 1812 while Stephen Maturin pursues his own intelligence mission, both facing typhoons, shipwreck, and disaster in the far reaches of the Pacific.",,Own
The Flame Key,Daniel Moran,0,"Tom Doherty Associates, Inc. (TOR Books), New York, NY",Fantasy,"Keys to Paradise, Book 1",Paperback,0,0-812-54600-8,First Edition,"First Printing, April 1987",$5,"Common; available as a vintage paperback, moderate appeal to collectors of complete fantasy series",0,"Good | Good (G); paperback; some cover creases, general shelf wear, solid binding and clean interior","The first book in the Keys to Paradise fantasy series, following Keja's discovery of the fabled Gate of Paradise. Published as a TOR mass-market paperback with cover art by Judith Mitchell and design by Carol Russo.",,Own
The Forgotten Beasts of Eld,Patricia A. McKillip,0,"Avon Books, New York, NY",Fantasy,,Paperback,0,0-380-42523-8,Fourth Printing (First Avon printing 1975),"Fourth Printing, September 1975",$8,"Uncommon; classic fantasy novel, early printing collectible to fans of Patricia A. McKillip",9,"Very Good | Very Good (VG); paperback; light shelf wear; tight binding, clean text block","Patricia A. McKillip's award-winning fantasy novel about Sybel, a wizard woman who lives among legendary beasts. Revered for its lyrical prose and compelling characters, 'The Forgotten Beasts of Eld' is a staple of classic fantasy literature. This is an early Avon paperback printing.",,Own
The Foundation Trilogy,Isaac Asimov,1963,Doubleday,Science Fiction,Foundation,Paperback,620,,Omnibus Edition,,$20.00,Common,8.5,Very Good,"Omnibus edition collecting Foundation (1951), Foundation and Empire (1952), and Second Foundation (1953). Classic science fiction trilogy about the fall and rise of galactic civilization through psychohistory.",,Pending Add
The Freedom of Man in Myth,Kees W. Bolle,1968,Vanderbilt University Press,Mythology / Religious Studies,,Hardcover,0,8265-1125-2,First Edition,First printing (1968),$70,Uncommon; scarce in hardcover,0,"Very Fine, noDJ | Very Fine (VF); hardcover; no dust jacket (as issued)","A scholarly exploration of the concept of human freedom within mythological traditions, authored by Kees W. Bolle and published in 1968 by Vanderbilt University Press.",,Own
The Guardians,John Grisham,2019,Doubleday,Fiction,,Hardcover,384,0385544189,First Edition,1st Printing,$7.00,Common; a bestselling title with abundant surviving copies,81,"Fine: near new condition, hasDJ, protectedDJ","Legal thriller following Cullen Post, a lawyer-minister who works to exonerate the wrongfully convicted, as he investigates the decades-old murder case that sent Quincy Miller to prison for a crime he didn't commit.",No,Own
The History and Practice of Magic,"Paul Christian (Jean-Baptiste Pitois), edited by Ross Nichols",1963,The Citadel Press,Occult / Magic History,,Hardcover,0,,First American Edition,First printing (1963),$65,Uncommon; sought after by occult collectors,0,"Near Fine, noDJ | Near Fine (NF); hardcover; no dust jacket (if applicable); very minor wear","A comprehensive English translation of Paul Christian's 19th-century exploration of magical theory, history, and practice, enriched with commentary and additional material by modern authorities.",,Own
The History of Witchcraft and Demonology,Montague Summers,2010,Bristol Park Books,Occult / History / Witchcraft,,Hardcover,0,,Modern reprint,2010 Bristol Park Books reprint,$35,"Common; modern reprint of a 1926 original, not a first edition",,Very Good | Modern reprint edition in good condition,"A modern reprint of Montague Summers' 1926 classic study of witchcraft, demonology, and the occult in European history, originally published by Kegan Paul. This edition is a Bristol Park Books reprint, not a first edition of the original work.",,Own
The Hundred Days,Patrick O'Brian,1998,"W. W. Norton & Company, New York",Historical Fiction / Nautical Fiction / Napoleonic Wars,"Aubrey-Maturin, Book 19",Hardcover,281,0-393-04674-5,First American Edition,"First American Edition, First Printing, 1998",$18,"Uncommon; genuine first-edition hardcover, later series entry with steady collector demand, not scarce",8.74,"Near Fine, hasDJ | Near Fine book and dust jacket","Nineteenth novel in the Aubrey-Maturin series, set during Napoleon's escape from Elba, as Jack Aubrey commands a squadron seeking to intercept a shipment of gold intended to fund a Muslim mercenary army allied with Napoleon, while Stephen Maturin's intelligence work races against time. Dust jacket art by Geoff Hunt.",,Own
"The Hunting of the Snark: An Agony, in Eight Fits",Lewis Carroll,1992,Lewis Carroll Society of North America,Children's Poetry / Nonsense Verse,,Hardcover,87,0-930326-07-5,First Edition—Regular Edition (Deluxe status unknown),First printing (1992),$10,Uncommon; limited print via the Lewis Carroll Society,0,"Very Fine, noDJ | Very Fine (VF); hardcover; no dust jacket (not typically issued)",Illustrated Society edition of Carroll's poem with Jonathan Dixon's whimsical artwork,,Own
The Hydra Protocol,David Wellington,2014,William Morrow,Fiction,Jim Chapel Missions,Hardcover,352,0062248804,First Edition,1st Printing,$5.00,Common; a widely distributed first-edition thriller with abundant surviving copies,70,"Good: moderate wear, hasDJ, protectedDJ","Second novel in Wellington's Jim Chapel series, a Cold War techno-thriller following a Special Forces operative and a Russian agent racing to disable a Soviet-era supercomputer poised to launch a nuclear strike.",No,Own
The Inner Reaches of Outer Space: Metaphor as Myth and as Religion,Joseph Campbell,1986,Alfred Van Der Marck Editions,Mythology / Religion / Philosophy,,Hardcover,0,912383097,First Alfred Van Der Marck Edition,First printing (1986),$20,Uncommon; collectible for Campbell enthusiasts,8.38,"Very Fine, hasDJ | Very Fine (VF); hardcover; excellent dust jacket","Campbell explores the relationship between outer space exploration and inner mythic journeys, framing space travel as a metaphor for humanity's search for meaning and transcendence.",,Own
The Ionian Mission,Patrick O'Brian,1981,"W. W. Norton & Company, New York",Historical Fiction / Nautical Fiction / Napoleonic Wars,"Aubrey-Maturin, Book 8",Paperback,400,0-393-30821-9,Norton Paperback Edition,1992 Norton paperback printing (number line to 4),$6,"Common; widely printed installment in a major historical fiction series, not scarce",8.64,"Good, noDJ | Good; trade paperback in protective plastic cover, no dust jacket as issued","Eighth novel in the Aubrey-Maturin series, following Captain Jack Aubrey on the harder, colder duty of blockading Toulon aboard a line-of-battle ship before a sudden mission to the Greek Islands tests his seamanship and diplomatic wits amid Turkish political intrigue.",,Own
The King of Torts,John Grisham,2003,"Doubleday, New York",Legal Thriller,,Hardcover,,0-385-50804-2,First Edition,"First Printing, March 2003 (number line to 2)",$8,"Common; widely printed bestselling legal thriller, not scarce",7.46,"Near Fine, hasDJ | Near Fine book; Good dust jacket","A public defender stumbles into a lucrative and morally fraught opportunity when he uncovers a conspiracy involving a major pharmaceutical company, catapulting him into the high-stakes, high-reward world of mass tort litigation.",,Own
The Kingdom of Books,William Dana Orcutt,1927,"Little, Brown & Company",Bibliophilia / Book History,,Hardcover,0,,First Trade Edition,First Impression (September 1927),$20,Uncommon; collectible for book history enthusiasts,0,"Very Fine, noDJ | Very Fine (VF); hardcover; no dust jacket (not always issued)","An exploration of the art, craft, and history of books, authored by noted book designer William Dana Orcutt, richly illustrated and reflective of early 20th-century bibliophilia.",,Own
The Kremlin Strike,Dale Brown,2019,William Morrow,Techno-Thriller,Brad McLanahan,Hardcover,437,978-0-06-284301-2,First Edition,First printing,$12,Uncommon; first edition hardcover with matching dust jacket in the used book market,8.3,Near Fine | hasDJ: hardcover with matching dust jacket in excellent condition with minimal wear,"When Russian president Gennadiy Gryzlov arms a new orbital space station with a devastating weapon capable of striking targets across Earth, Brad McLanahan and the Iron Wolf Squadron must take the fight into space to stop him. Fifth entry in the Brad McLanahan series.",No,
"The Ladies' New Medical Guide: Instructor, Counsellor and Friend","S. Pancoast, M.D.; C.C. Vanderbeck, M.D.",1890,Elliott & Beezley (Copyright John E. Potter & Company),Medical / Women's Health / Victorian Reference,,Hardcover,0,,Revised and Enlarged Subscription Edition,1890 printing,$100,Uncommon; collectible due to subject matter and illustrations,0,Very Good | Very Good (VG); hardcover; light shelf and binding wear; all fold-outs and illustrations intact and in excellent condition,"Late 19th-century medical reference for women, offering guidance on reproductive health, childbirth, and hygiene. Illustrated with numerous engravings and complete fold-out plates. Revised and Enlarged Subscription Edition.",,Own
